Numer of labeled samples:26189   AUC:0.986
Numer of labeled samples:26419   AUC:0.984
Numer of labeled samples:26177   AUC:0.986
Numer of labeled samples:26413   AUC:0.985
Numer of labeled samples:26218   AUC:0.983
Numer of labeled samples:26393   AUC:0.987
Numer of labeled samples:26328   AUC:0.988
Numer of labeled samples:26253   AUC:0.987
Numer of labeled samples:26266   AUC:0.986
Numer of labeled samples:26370   AUC:0.986
Numer of labeled samples:25978   AUC:0.986
Numer of labeled samples:26406   AUC:0.986
Numer of labeled samples:26260   AUC:0.986
Numer of labeled samples:26454   AUC:0.987
Numer of labeled samples:26183   AUC:0.987
Numer of labeled samples:26290   AUC:0.986
Numer of labeled samples:26394   AUC:0.985
Numer of labeled samples:26417   AUC:0.986
Numer of labeled samples:26393   AUC:0.985
Numer of labeled samples:26295   AUC:0.984
Numer of labeled samples:26379   AUC:0.987
Numer of labeled samples:26324   AUC:0.986
Numer of labeled samples:26263   AUC:0.986
Numer of labeled samples:26411   AUC:0.985
Numer of labeled samples:26224   AUC:0.984
Numer of labeled samples:26351   AUC:0.984
Numer of labeled samples:26274   AUC:0.985
Numer of labeled samples:26369   AUC:0.984
Numer of labeled samples:26397   AUC:0.986
Numer of labeled samples:26406   AUC:0.987
Numer of labeled samples:25746   AUC:0.981
Numer of labeled samples:26398   AUC:0.985
Numer of labeled samples:26242   AUC:0.985
Numer of labeled samples:26309   AUC:0.983
Numer of labeled samples:26376   AUC:0.988
Numer of labeled samples:26329   AUC:0.986
Numer of labeled samples:26467   AUC:0.987
Numer of labeled samples:26287   AUC:0.987
Numer of labeled samples:26395   AUC:0.987
Numer of labeled samples:26417   AUC:0.985
Numer of labeled samples:26373   AUC:0.986
Numer of labeled samples:26471   AUC:0.986
Numer of labeled samples:26442   AUC:0.988
Numer of labeled samples:26481   AUC:0.986
Numer of labeled samples:26462   AUC:0.987
Numer of labeled samples:26511   AUC:0.989
Numer of labeled samples:26392   AUC:0.988
Numer of labeled samples:26494   AUC:0.987
Numer of labeled samples:25213   AUC:0.987
Numer of labeled samples:26346   AUC:0.984
Numer of labeled samples:26360   AUC:0.987
Numer of labeled samples:26417   AUC:0.985
Numer of labeled samples:26253   AUC:0.985
Numer of labeled samples:26421   AUC:0.986
Numer of labeled samples:26469   AUC:0.988
Numer of labeled samples:26443   AUC:0.984
Numer of labeled samples:26448   AUC:0.986
Numer of labeled samples:26346   AUC:0.985
Numer of labeled samples:26332   AUC:0.985
Numer of labeled samples:26373   AUC:0.986
Numer of labeled samples:26373   AUC:0.988
Numer of labeled samples:26410   AUC:0.987
Numer of labeled samples:26361   AUC:0.986
Numer of labeled samples:26412   AUC:0.986
Numer of labeled samples:26346   AUC:0.987
Numer of labeled samples:26452   AUC:0.986
Numer of labeled samples:26264   AUC:0.985
Numer of labeled samples:26409   AUC:0.986
Numer of labeled samples:26397   AUC:0.986
Numer of labeled samples:26439   AUC:0.986
Numer of labeled samples:26472   AUC:0.985
Numer of labeled samples:26483   AUC:0.986
Numer of labeled samples:26382   AUC:0.987
Numer of labeled samples:26531   AUC:0.986
Numer of labeled samples:26523   AUC:0.987
Numer of labeled samples:26674   AUC:0.983
Numer of labeled samples:26659   AUC:0.986
Numer of labeled samples:26715   AUC:0.983
Numer of labeled samples:26669   AUC:0.984
Numer of labeled samples:26696   AUC:0.983
Numer of labeled samples:26674   AUC:0.984
Numer of labeled samples:26707   AUC:0.982
Numer of labeled samples:26656   AUC:0.984
Numer of labeled samples:26712   AUC:0.982
Numer of labeled samples:26711   AUC:0.984
Numer of labeled samples:26716   AUC:0.982
Numer of labeled samples:26712   AUC:0.982
Numer of labeled samples:26730   AUC:0.981
Numer of labeled samples:26702   AUC:0.983
Numer of labeled samples:26721   AUC:0.982
Numer of labeled samples:26731   AUC:0.982
Numer of labeled samples:26745   AUC:0.981
